#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2014 11 24 09 40 086  5.3 999 99.0 9999
2014 11 24 09 30 088  5.6 999 99.0 9999
2014 11 24 09 20 088  5.8  80  9.0 0842
2014 11 24 09 10 086  5.7 999 99.0 9999
2014 11 24 09 00 086  5.6 999 99.0 9999
2014 11 24 08 50 083  6.3  80  9.0 0842
2014 11 24 08 40 086  6.5 999 99.0 9999
2014 11 24 08 30 092  6.2 999 99.0 9999
2014 11 24 08 20 093  6.1  90  9.0 0749
2014 11 24 08 10 094  6.7 999 99.0 9999
2014 11 24 08 00 093  6.8 999 99.0 9999
2014 11 24 07 50 093  6.5 100  9.0 0738
2014 11 24 07 40 093  6.2 999 99.0 9999
2014 11 24 07 30 090  5.9 999 99.0 9999
2014 11 24 07 20 087  5.2  90  8.0 0656
2014 11 24 07 10 083  5.6 999 99.0 9999
2014 11 24 07 00 078  5.6 999 99.0 9999
2014 11 24 06 50 080  5.2  80  7.0 0633
2014 11 24 06 40 075  5.2 999 99.0 9999
2014 11 24 06 30 077  4.6 999 99.0 9999
2014 11 24 06 20 075  3.8  80  7.0 0619
2014 11 24 06 10 076  3.7 999 99.0 9999
2014 11 24 06 00 351  2.6 999 99.0 9999
2014 11 24 05 50 245  3.8 260  7.0 0508
2014 11 24 05 40 244  4.0 999 99.0 9999
2014 11 24 05 30 248  4.5 999 99.0 9999
2014 11 24 05 20 254  4.9 260  7.0 0508
2014 11 24 05 10 248  5.1 999 99.0 9999
2014 11 24 05 00 243  4.7 999 99.0 9999
2014 11 24 04 50 242  4.3 280  8.0 0358
2014 11 24 04 40 293  1.9 999 99.0 9999
2014 11 24 04 30 327  1.4 999 99.0 9999
2014 11 24 04 20 322  3.0 280  8.0 0358
2014 11 24 04 10 282  4.0 999 99.0 9999
2014 11 24 04 00 278  5.3 999 99.0 9999
2014 11 24 03 50 304  3.8 300  7.0 0305
2014 11 24 03 40 331  3.6 999 99.0 9999
2014 11 24 03 30 356  3.2 999 99.0 9999
2014 11 24 03 20 344  3.2 280 10.0 0234
2014 11 24 03 10 304  4.7 999 99.0 9999
2014 11 24 03 00 284  4.7 999 99.0 9999
2014 11 24 02 50 272  6.5 280 10.0 0234
2014 11 24 02 40 268  7.5 999 99.0 9999
2014 11 24 02 30 281  5.5 999 99.0 9999
2014 11 24 02 20 286  5.9 290  9.0 0209
2014 11 24 02 10 288  6.0 999 99.0 9999
2014 11 24 02 00 298  4.7 999 99.0 9999
2014 11 24 01 50 280  5.7 280  9.0 0057
2014 11 24 01 40 285  6.0 999 99.0 9999
2014 11 24 01 30 288  6.5 999 99.0 9999
2014 11 24 01 20 294  6.5 280  9.0 0057
2014 11 24 01 10 284  6.8 999 99.0 9999
2014 11 24 01 00 277  6.5 999 99.0 9999
2014 11 24 00 50 276  6.5 280  9.0 0002
2014 11 24 00 40 282  6.2 999 99.0 9999
2014 11 24 00 30 284  5.9 999 99.0 9999
2014 11 24 00 20 288  6.5 280  9.0 0002
2014 11 24 00 10 283  7.1 999 99.0 9999
2014 11 24 00 00 280  6.6 999 99.0 9999
2014 11 23 23 50 276  6.6 300  9.0 2325
2014 11 23 23 40 285  6.5 999 99.0 9999
2014 11 23 23 30 295  6.4 999 99.0 9999
2014 11 23 23 20 300  5.8 290 11.0 2228
2014 11 23 23 10 299  5.6 999 99.0 9999
2014 11 23 23 00 305  6.2 999 99.0 9999
2014 11 23 22 50 309  7.0 290 12.0 2156
2014 11 23 22 40 322  7.9 999 99.0 9999
2014 11 23 22 30 294  8.2 999 99.0 9999
2014 11 23 22 20 296  8.1 300 12.0 2120
2014 11 23 22 10 298  8.7 999 99.0 9999
2014 11 23 22 00 294  9.6 999 99.0 9999
2014 11 23 21 50 303  9.8 290 13.0 2051
2014 11 23 21 40 304  9.8 999 99.0 9999
2014 11 23 21 30 296 10.4 999 99.0 9999
2014 11 23 21 20 295 10.6 290 13.0 2051
2014 11 23 21 10 291 10.4 999 99.0 9999
2014 11 23 21 00 283 10.9 999 99.0 9999
2014 11 23 20 50 279 10.0 280 13.0 2049
2014 11 23 20 40 278  9.0 999 99.0 9999
2014 11 23 20 30 277  9.2 999 99.0 9999
2014 11 23 20 20 275  8.9 300 11.0 1951
2014 11 23 20 10 277  9.0 999 99.0 9999
2014 11 23 20 00 284  9.0 999 99.0 9999
2014 11 23 19 50 296  8.1 320 14.0 1859
2014 11 23 19 40 300  7.9 999 99.0 9999
2014 11 23 19 30 299  8.8 999 99.0 9999
2014 11 23 19 20 299  9.6 320 14.0 1859
2014 11 23 19 10 307  9.4 999 99.0 9999
2014 11 23 19 00 323 10.3 999 99.0 9999
2014 11 23 18 50 314 10.4 290 14.0 1753
2014 11 23 18 40 283 10.7 999 99.0 9999
2014 11 23 18 30 274 10.2 999 99.0 9999
2014 11 23 18 20 276 10.0 290 14.0 1742
2014 11 23 18 10 281 10.0 999 99.0 9999
2014 11 23 18 00 282 11.1 999 99.0 9999
2014 11 23 17 50 282 11.1 290 14.0 1742
2014 11 23 17 40 280 10.5 999 99.0 9999
2014 11 23 17 30 279 10.3 999 99.0 9999
2014 11 23 17 20 280 10.5 270 14.0 1640
2014 11 23 17 10 280 10.8 999 99.0 9999
2014 11 23 17 00 276 10.7 999 99.0 9999
2014 11 23 16 50 273 10.8 270 14.0 1640
2014 11 23 16 40 270 11.0 999 99.0 9999
2014 11 23 16 30 270 11.1 999 99.0 9999
2014 11 23 16 20 266 10.3 270 13.0 1619
2014 11 23 16 10 263  9.7 999 99.0 9999
2014 11 23 16 00 264  9.3 999 99.0 9999
2014 11 23 15 50 273  9.0 280 19.0 1456
2014 11 23 15 40 273  8.4 999 99.0 9999
2014 11 23 15 30 282  9.1 999 99.0 9999
2014 11 23 15 20 276 10.8 280 19.0 1456
2014 11 23 15 10 284 12.1 999 99.0 9999
2014 11 23 15 00 272 12.7 999 99.0 9999
2014 11 23 14 50 263 10.6 270 14.0 1448
2014 11 23 14 40 260  8.9 999 99.0 9999
2014 11 23 14 30 258  9.4 999 99.0 9999
2014 11 23 14 20 258 11.0 270 13.0 1408
2014 11 23 14 10 262 10.7 999 99.0 9999
2014 11 23 14 00 262 10.0 999 99.0 9999
2014 11 23 13 50 263 10.4 270 13.0 1253
2014 11 23 13 40 265  9.4 999 99.0 9999
2014 11 23 13 30 263  9.9 999 99.0 9999
2014 11 23 13 20 267 10.1 270 21.0 1247
2014 11 23 13 10 268 10.8 999 99.0 9999
2014 11 23 13 00 270 10.7 999 99.0 9999
2014 11 23 12 50 256 12.4 270 21.0 1247
2014 11 23 12 40 239 12.3 999 99.0 9999
2014 11 23 12 30 236 12.8 999 99.0 9999
2014 11 23 12 20 242 12.6 220 18.0 1124
2014 11 23 12 10 246 12.8 999 99.0 9999
2014 11 23 12 00 245 13.5 999 99.0 9999
2014 11 23 11 50 234 13.1 220 21.0 1109
2014 11 23 11 40 229 13.7 999 99.0 9999
2014 11 23 11 30 219 14.1 999 99.0 9999
2014 11 23 11 20 214 15.0 220 21.0 1109
2014 11 23 11 10 213 15.6 999 99.0 9999
2014 11 23 11 00 197 11.5 999 99.0 9999
2014 11 23 10 50 188 10.3 200 13.0 1049
2014 11 23 10 40 185  9.1 999 99.0 9999
2014 11 23 10 30 183  8.5 999 99.0 9999
2014 11 23 10 20 189  8.3 220 12.0 0945
2014 11 23 10 10 191  9.0 999 99.0 9999
2014 11 23 10 00 191  8.6 999 99.0 9999
2014 11 23 09 50 208  8.0 230 12.0 0912
2014 11 23 09 40 206  7.3 999 99.0 9999
2014 11 23 09 30 209  6.8 999 99.0 9999
2014 11 23 09 20 221  8.3 230 16.0 0828
2014 11 23 09 10 222  8.5 999 99.0 9999
2014 11 23 09 00 220  7.0 999 99.0 9999
2014 11 23 08 50 239  6.2 230 16.0 0828
2014 11 23 08 40 253 10.1 999 99.0 9999
2014 11 23 08 30 216  9.9 999 99.0 9999
2014 11 23 08 20 203  7.7 220 10.0 0721
2014 11 23 08 10 209  7.2 999 99.0 9999
2014 11 23 08 00 219  6.5 999 99.0 9999
2014 11 23 07 50 216  6.8 230 10.0 0719
2014 11 23 07 40 218  7.6 999 99.0 9999
2014 11 23 07 30 220  8.0 999 99.0 9999
2014 11 23 07 20 225  8.4 230 10.0 0719
2014 11 23 07 10 224  7.9 999 99.0 9999
2014 11 23 07 00 228  6.6 999 99.0 9999
2014 11 23 06 50 231  3.7 210  8.0 0553
2014 11 23 06 40 244  3.7 999 99.0 9999
2014 11 23 06 30 245  5.1 999 99.0 9999
2014 11 23 06 20 235  6.0 220  9.0 0537
2014 11 23 06 10 213  5.4 999 99.0 9999
2014 11 23 06 00 196  6.4 999 99.0 9999
2014 11 23 05 50 199  5.5 220  9.0 0537
2014 11 23 05 40 216  6.2 999 99.0 9999
2014 11 23 05 30 226  5.5 999 99.0 9999
2014 11 23 05 20 231  4.7 230  7.0 0519
2014 11 23 05 10 229  4.2 999 99.0 9999
2014 11 23 05 00 230  3.8 999 99.0 9999
2014 11 23 04 50 227  3.4 240  5.0 0442
2014 11 23 04 40 224  2.9 999 99.0 9999
2014 11 23 04 30 237  2.3 999 99.0 9999
2014 11 23 04 20 249  2.7 240  6.0 0321
2014 11 23 04 10 250  2.5 999 99.0 9999
2014 11 23 04 00 243  2.3 999 99.0 9999
2014 11 23 03 50 249  3.1 240  6.0 0321
2014 11 23 03 40 242  3.6 999 99.0 9999
2014 11 23 03 30 237  4.3 999 99.0 9999
2014 11 23 03 20 236  2.8 999 99.0 9999
2014 11 23 03 10 201  2.3 999 99.0 9999
2014 11 23 03 00 201  3.5 999 99.0 9999
2014 11 23 02 50 201  2.7 230  6.0 0200
2014 11 23 02 40 198  2.4 999 99.0 9999
2014 11 23 02 30 211  2.8 999 99.0 9999
2014 11 23 02 20 234  3.3 230  6.0 0200
2014 11 23 02 10 236  3.6 999 99.0 9999
2014 11 23 02 00 238  3.7 999 99.0 9999
2014 11 23 01 50 234  3.4 240  5.0 0147
2014 11 23 01 40 237  3.1 999 99.0 9999
2014 11 23 01 30 249  2.8 999 99.0 9999
2014 11 23 01 20 263  2.8 280  5.0 0044
2014 11 23 01 10 274  3.2 999 99.0 9999
2014 11 23 01 00 278  3.3 999 99.0 9999
2014 11 23 00 50 280  3.5 260 12.0 2352
2014 11 23 00 40 277  3.3 999 99.0 9999
2014 11 23 00 30 286  3.3 999 99.0 9999
2014 11 23 00 20 297  4.8 260 12.0 2352
2014 11 23 00 10 276  8.5 999 99.0 9999
2014 11 23 00 00 257  9.4 999 99.0 9999
2014 11 22 23 50 285  6.5 260 11.0 2348
2014 11 22 23 40 298  5.8 999 99.0 9999
2014 11 22 23 30 290  6.5 999 99.0 9999
2014 11 22 23 20 296  6.6 290  9.0 2240
2014 11 22 23 10 293  7.0 999 99.0 9999
2014 11 22 23 00 289  7.3 999 99.0 9999
2014 11 22 22 50 293  7.6 290  9.0 2240
2014 11 22 22 40 287  7.3 999 99.0 9999
2014 11 22 22 30 282  6.4 999 99.0 9999
2014 11 22 22 20 288  6.8 290 10.0 2132
2014 11 22 22 10 289  7.5 999 99.0 9999
2014 11 22 22 00 287  7.6 999 99.0 9999
2014 11 22 21 50 290  7.7 290 10.0 2132
2014 11 22 21 40 288  7.8 999 99.0 9999
2014 11 22 21 30 290  7.3 999 99.0 9999
2014 11 22 21 20 288  6.9 290  9.0 2119
2014 11 22 21 10 292  6.7 999 99.0 9999
2014 11 22 21 00 295  6.9 999 99.0 9999
2014 11 22 20 50 290  7.2 290  9.0 2009
2014 11 22 20 40 293  7.3 999 99.0 9999
2014 11 22 20 30 292  7.5 999 99.0 9999
2014 11 22 20 20 294  7.6 290  9.0 2009
2014 11 22 20 10 291  7.3 999 99.0 9999
2014 11 22 20 00 290  7.2 999 99.0 9999
2014 11 22 19 50 293  6.2 290  8.0 1947
2014 11 22 19 40 292  5.4 999 99.0 9999
2014 11 22 19 30 290  4.6 999 99.0 9999
2014 11 22 19 20 299  4.5 300  6.0 1911
2014 11 22 19 10 304  3.7 999 99.0 9999
2014 11 22 19 00 298  3.2 999 99.0 9999
2014 11 22 18 50 297  3.3 290  5.0 1840
2014 11 22 18 40 296  2.8 999 99.0 9999
2014 11 22 18 30 293  2.2 999 99.0 9999
2014 11 22 18 20 300  2.0  40  3.0 1725
2014 11 22 18 10 326  1.7 999 99.0 9999
2014 11 22 18 00 332  1.0 999 99.0 9999
2014 11 22 17 50 356  1.7 350  7.0 1749
2014 11 22 17 40 014  1.4 999 99.0 9999
2014 11 22 17 30 026  1.8 999 99.0 9999
2014 11 22 17 20 035  2.9 280 12.0 1633
2014 11 22 17 10 004  3.7 999 99.0 9999
2014 11 22 17 00 346  4.8 999 99.0 9999
2014 11 22 16 50 331  7.2 280 12.0 1633
2014 11 22 16 40 275  8.8 999 99.0 9999
2014 11 22 16 30 261  7.4 999 99.0 9999
2014 11 22 16 20 261  6.7 260  9.0 1544
2014 11 22 16 10 262  6.9 999 99.0 9999
2014 11 22 16 00 261  6.6 999 99.0 9999
2014 11 22 15 50 261  6.5 260  9.0 1544
2014 11 22 15 40 265  5.9 999 99.0 9999
2014 11 22 15 30 268  5.2 999 99.0 9999
2014 11 22 15 20 281  1.2 240  4.0 1519
2014 11 22 15 10 343  1.0 999 99.0 9999
2014 11 22 15 00 339  1.2 999 99.0 9999
2014 11 22 14 50 351  1.4 330  4.0 1353
2014 11 22 14 40 350  1.9 999 99.0 9999
2014 11 22 14 30 351  1.6 999 99.0 9999
2014 11 22 14 20 358  2.2 330  4.0 1353
2014 11 22 14 10 343  2.4 999 99.0 9999
2014 11 22 14 00 331  2.4 999 99.0 9999
2014 11 22 13 50 312  2.3 290  8.0 1349
2014 11 22 13 40 305  2.1 999 99.0 9999
2014 11 22 13 30 327  2.4 999 99.0 9999
2014 11 22 13 20 325  3.0 290 10.0 1242
2014 11 22 13 10 359  2.7 999 99.0 9999
2014 11 22 13 00 293  5.7 999 99.0 9999
2014 11 22 12 50 289  6.5 290 10.0 1242
2014 11 22 12 40 291  4.5 999 99.0 9999
2014 11 22 12 30 291  4.2 999 99.0 9999
2014 11 22 12 20 311  3.8 330  9.0 1138
2014 11 22 12 10 337  3.4 999 99.0 9999
2014 11 22 12 00 326  4.5 999 99.0 9999
2014 11 22 11 50 333  5.5 330  9.0 1138
2014 11 22 11 40 325  6.7 999 99.0 9999
2014 11 22 11 30 314  6.3 999 99.0 9999
2014 11 22 11 20 313  5.3 290  8.0 1031
2014 11 22 11 10 299  6.1 999 99.0 9999
2014 11 22 11 00 285  6.7 999 99.0 9999
2014 11 22 10 50 288  6.9 290 14.0 1002
2014 11 22 10 40 298  6.5 999 99.0 9999
2014 11 22 10 30 318  5.3 999 99.0 9999
2014 11 22 10 20 319  8.2 290 14.0 1002
2014 11 22 10 10 304 10.1 999 99.0 9999
2014 11 22 10 00 294  6.2 999 99.0 9999
2014 11 22 09 50 286  6.9 280 14.0 0934
2014 11 22 09 40 297  5.7 999 99.0 9999
2014 11 22 09 30 325  6.9 999 99.0 9999
2014 11 22 09 20 295  9.1 280 13.0 0828
2014 11 22 09 10 283  9.9 999 99.0 9999
2014 11 22 09 00 283 10.3 999 99.0 9999
2014 11 22 08 50 279 10.4 290 14.0 0751
2014 11 22 08 40 284 10.2 999 99.0 9999
2014 11 22 08 30 281 10.6 999 99.0 9999
2014 11 22 08 20 286 11.3 290 15.0 0724
2014 11 22 08 10 281 11.4 999 99.0 9999
2014 11 22 08 00 284 11.4 999 99.0 9999
2014 11 22 07 50 282 11.6 290 15.0 0724
2014 11 22 07 40 286 11.6 999 99.0 9999
2014 11 22 07 30 283 12.4 999 99.0 9999
2014 11 22 07 20 282 11.5 290 16.0 0636
2014 11 22 07 10 290 11.3 999 99.0 9999
2014 11 22 07 00 286 12.1 999 99.0 9999
2014 11 22 06 50 288 11.9 290 16.0 0636
2014 11 22 06 40 285 12.5 999 99.0 9999
2014 11 22 06 30 277 11.9 999 99.0 9999
2014 11 22 06 20 280 12.1 280 15.0 0559
2014 11 22 06 10 281 12.3 999 99.0 9999
2014 11 22 06 00 284 12.1 999 99.0 9999
2014 11 22 05 50 281 12.0 290 15.0 0543
2014 11 22 05 40 286 12.3 999 99.0 9999
2014 11 22 05 30 288 11.6 999 99.0 9999
2014 11 22 05 20 287 10.8 300 15.0 0454
2014 11 22 05 10 293 10.0 999 99.0 9999
2014 11 22 05 00 291 11.5 999 99.0 9999
2014 11 22 04 50 273  9.4 290 14.0 0422
2014 11 22 04 40 273 10.1 999 99.0 9999
2014 11 22 04 30 282 10.8 999 99.0 9999
2014 11 22 04 20 292 11.0 290 15.0 0336
2014 11 22 04 10 283 10.2 999 99.0 9999
2014 11 22 04 00 260  9.9 999 99.0 9999
2014 11 22 03 50 277 11.6 290 15.0 0336
2014 11 22 03 40 290 11.7 999 99.0 9999
2014 11 22 03 30 288 11.2 999 99.0 9999
2014 11 22 03 20 285 11.5 300 14.0 0242
2014 11 22 03 10 294 11.2 999 99.0 9999
2014 11 22 03 00 293 11.5 999 99.0 9999
2014 11 22 02 50 292 11.4 300 14.0 0242
2014 11 22 02 40 289 10.9 999 99.0 9999
2014 11 22 02 30 289 11.1 999 99.0 9999
2014 11 22 02 20 289 10.9 290 13.0 0217
2014 11 22 02 10 287 10.0 999 99.0 9999
2014 11 22 02 00 289 10.0 999 99.0 9999
2014 11 22 01 50 289  9.6 290 12.0 0126
2014 11 22 01 40 291  9.5 999 99.0 9999
2014 11 22 01 30 295  9.7 999 99.0 9999
2014 11 22 01 20 297  9.6 300 12.0 0113
2014 11 22 01 10 294  6.3 999 99.0 9999
2014 11 22 01 00 331  1.5 999 99.0 9999
2014 11 22 00 50 018  1.6 110  7.0 2353
2014 11 22 00 40 017  2.0 999 99.0 9999
2014 11 22 00 30 022  2.3 999 99.0 9999
2014 11 22 00 20 103  1.5 110  7.0 2353
2014 11 22 00 10 111  3.5 999 99.0 9999
2014 11 22 00 00 110  5.1 999 99.0 9999
2014 11 21 23 50 101  4.5 100  8.0 2251
2014 11 21 23 40 093  4.8 999 99.0 9999
2014 11 21 23 30 081  3.6 999 99.0 9999
2014 11 21 23 20 073  3.7 120 10.0 2221
2014 11 21 23 10 113  2.2 999 99.0 9999
2014 11 21 23 00 102  5.5 999 99.0 9999
2014 11 21 22 50 109  5.4 120 11.0 2150
2014 11 21 22 40 106  7.2 999 99.0 9999
2014 11 21 22 30 104  6.8 999 99.0 9999
2014 11 21 22 20 113  6.5 120 12.0 2120
2014 11 21 22 10 113  7.9 999 99.0 9999
2014 11 21 22 00 112  8.6 999 99.0 9999
2014 11 21 21 50 119 10.3 120 12.0 2120
2014 11 21 21 40 116  9.9 999 99.0 9999
2014 11 21 21 30 121  9.4 999 99.0 9999
2014 11 21 21 20 119  9.8 130 13.0 2043
2014 11 21 21 10 122  9.8 999 99.0 9999
2014 11 21 21 00 119  9.8 999 99.0 9999
2014 11 21 20 50 112  9.8 110 13.0 1958
2014 11 21 20 40 112  9.7 999 99.0 9999
2014 11 21 20 30 116  9.6 999 99.0 9999
2014 11 21 20 20 113  9.6 110 13.0 1958
2014 11 21 20 10 112  9.9 999 99.0 9999
2014 11 21 20 00 114 10.1 999 99.0 9999
2014 11 21 19 50 118  9.8 120 12.0 1924
2014 11 21 19 40 117  9.8 999 99.0 9999
2014 11 21 19 30 124  9.7 999 99.0 9999
2014 11 21 19 20 111 10.3 100 12.0 1830
2014 11 21 19 10 109  9.7 999 99.0 9999
2014 11 21 19 00 105  8.8 999 99.0 9999
2014 11 21 18 50 106  8.8 110 13.0 1755
2014 11 21 18 40 104  9.7 999 99.0 9999
2014 11 21 18 30 103 10.1 999 99.0 9999
2014 11 21 18 20 105  9.9 110 13.0 1755
2014 11 21 18 10 109 10.0 999 99.0 9999
2014 11 21 18 00 109 10.5 999 99.0 9999
2014 11 21 17 50 110 10.2 110 13.0 1725
2014 11 21 17 40 113 10.2 999 99.0 9999
2014 11 21 17 30 111  9.9 999 99.0 9999
2014 11 21 17 20 108  9.3 110 12.0 1656
2014 11 21 17 10 109  8.8 999 99.0 9999
2014 11 21 17 00 108  9.3 999 99.0 9999
2014 11 21 16 50 111  8.6 100 14.0 1617
2014 11 21 16 40 109  9.5 999 99.0 9999
2014 11 21 16 30 112  9.3 999 99.0 9999
2014 11 21 16 20 114 10.2 100 14.0 1617
2014 11 21 16 10 117 10.3 999 99.0 9999
2014 11 21 16 00 115  9.2 999 99.0 9999
2014 11 21 15 50 115 10.3 110 12.0 1543
2014 11 21 15 40 116  9.6 999 99.0 9999
2014 11 21 15 30 116  9.2 999 99.0 9999
2014 11 21 15 20 119  8.9 120 11.0 1506
2014 11 21 15 10 116  9.2 999 99.0 9999
2014 11 21 15 00 113  9.2 999 99.0 9999
2014 11 21 14 50 111  9.0 120 12.0 1401
2014 11 21 14 40 109  8.5 999 99.0 9999
2014 11 21 14 30 110  8.9 999 99.0 9999
2014 11 21 14 20 110  9.5 120 12.0 1401
2014 11 21 14 10 108  9.6 999 99.0 9999
2014 11 21 14 00 111  9.1 999 99.0 9999
2014 11 21 13 50 113  9.0 110 12.0 1349
2014 11 21 13 40 111  8.4 999 99.0 9999
2014 11 21 13 30 108  7.8 999 99.0 9999
2014 11 21 13 20 107  7.8 110 10.0 1237
2014 11 21 13 10 106  7.3 999 99.0 9999
2014 11 21 13 00 106  7.6 999 99.0 9999
2014 11 21 12 50 108  7.3 110 10.0 1237
2014 11 21 12 40 104  7.2 999 99.0 9999
2014 11 21 12 30 109  6.2 999 99.0 9999
2014 11 21 12 20 111  6.3  90  8.0 1132
2014 11 21 12 10 113  5.8 999 99.0 9999
2014 11 21 12 00 110  5.7 999 99.0 9999
2014 11 21 11 50 106  5.7  90  8.0 1132
2014 11 21 11 40 098  5.8 999 99.0 9999
2014 11 21 11 30 108  5.7 999 99.0 9999
2014 11 21 11 20 108  5.2 120  9.0 1026
2014 11 21 11 10 108  5.1 999 99.0 9999
2014 11 21 11 00 108  5.9 999 99.0 9999
2014 11 21 10 50 113  5.7 120  9.0 1026
2014 11 21 10 40 122  5.4 999 99.0 9999
2014 11 21 10 30 117  6.2 999 99.0 9999
2014 11 21 10 20 119  6.1 120  8.0 0944
2014 11 21 10 10 123  5.9 999 99.0 9999
2014 11 21 10 00 122  6.0 999 99.0 9999
2014 11 21 09 50 121  6.2 120  8.0 0944
2014 11 21 09 40 116  5.5 999 99.0 9999
2014 11 21 09 30 111  5.9 999 99.0 9999
2014 11 21 09 20 119  5.7 110  8.0 0826
2014 11 21 09 10 113  5.8 999 99.0 9999
2014 11 21 09 00 115  5.3 999 99.0 9999
2014 11 21 08 50 117  5.5 120  8.0 0752
2014 11 21 08 40 116  5.2 999 99.0 9999
2014 11 21 08 30 116  5.7 999 99.0 9999
2014 11 21 08 20 115  6.4 110  8.0 0747
2014 11 21 08 10 114  6.2 999 99.0 9999
2014 11 21 08 00 114  6.2 999 99.0 9999
2014 11 21 07 50 120  6.1 110  8.0 0747
2014 11 21 07 40 116  5.9 999 99.0 9999
2014 11 21 07 30 113  6.0 999 99.0 9999
2014 11 21 07 20 116  6.3 120  9.0 0623
2014 11 21 07 10 115  6.3 999 99.0 9999
2014 11 21 07 00 118  5.8 999 99.0 9999
2014 11 21 06 50 116  6.0 110  9.0 0617
2014 11 21 06 40 116  5.7 999 99.0 9999
2014 11 21 06 30 121  6.9 999 99.0 9999
2014 11 21 06 20 120  7.2 110  9.0 0617
2014 11 21 06 10 110  6.5 999 99.0 9999
2014 11 21 06 00 105  5.8 999 99.0 9999
2014 11 21 05 50 106  6.1 100  9.0 0501
2014 11 21 05 40 110  5.8 999 99.0 9999
2014 11 21 05 30 109  6.2 999 99.0 9999
2014 11 21 05 20 105  6.0 100  9.0 0501
2014 11 21 05 10 101  5.7 999 99.0 9999
2014 11 21 05 00 102  5.3 999 99.0 9999
2014 11 21 04 50 115  5.8 100  9.0 0352
2014 11 21 04 40 110  6.1 999 99.0 9999
2014 11 21 04 30 110  5.6 999 99.0 9999
2014 11 21 04 20 111  5.9 100  9.0 0352
2014 11 21 04 10 112  6.2 999 99.0 9999
2014 11 21 04 00 108  6.4 999 99.0 9999
2014 11 21 03 50 107  6.3 100 10.0 0303
2014 11 21 03 40 105  6.3 999 99.0 9999
2014 11 21 03 30 107  6.4 999 99.0 9999
2014 11 21 03 20 102  6.4 110 10.0 0245
2014 11 21 03 10 102  6.9 999 99.0 9999
2014 11 21 03 00 103  7.2 999 99.0 9999
2014 11 21 02 50 109  7.3 110 10.0 0245
2014 11 21 02 40 116  7.8 999 99.0 9999
2014 11 21 02 30 123  8.2 999 99.0 9999
2014 11 21 02 20 124  7.7 120 10.0 0157
2014 11 21 02 10 123  7.1 999 99.0 9999
2014 11 21 02 00 126  7.3 999 99.0 9999
2014 11 21 01 50 132  7.5 120 10.0 0053
2014 11 21 01 40 129  7.5 999 99.0 9999
2014 11 21 01 30 123  7.5 999 99.0 9999
2014 11 21 01 20 115  7.2 120 10.0 0044
2014 11 21 01 10 111  7.5 999 99.0 9999
2014 11 21 01 00 114  7.8 999 99.0 9999
2014 11 21 00 50 116  7.7 120 10.0 0044
2014 11 21 00 40 118  6.6 999 99.0 9999
2014 11 21 00 30 128  6.2 999 99.0 9999
2014 11 21 00 20 127  5.6 130  9.0 2342
2014 11 21 00 10 122  6.0 999 99.0 9999
2014 11 21 00 00 121  6.7 999 99.0 9999
2014 11 20 23 50 125  6.8 130  9.0 2342
2014 11 20 23 40 118  6.4 999 99.0 9999
2014 11 20 23 30 119  5.4 999 99.0 9999
2014 11 20 23 20 123  6.0 120  9.0 2222
2014 11 20 23 10 124  6.5 999 99.0 9999
2014 11 20 23 00 125  6.3 999 99.0 9999
2014 11 20 22 50 122  6.7 110  9.0 2153
2014 11 20 22 40 118  6.3 999 99.0 9999
2014 11 20 22 30 123  6.6 999 99.0 9999
2014 11 20 22 20 123  6.7 120  9.0 2147
2014 11 20 22 10 122  7.2 999 99.0 9999
2014 11 20 22 00 118  7.2 999 99.0 9999
2014 11 20 21 50 120  7.4 120 10.0 2051
2014 11 20 21 40 109  6.6 999 99.0 9999
2014 11 20 21 30 114  6.7 999 99.0 9999
2014 11 20 21 20 116  6.8 120 10.0 2051
2014 11 20 21 10 122  7.4 999 99.0 9999
2014 11 20 21 00 115  7.7 999 99.0 9999
2014 11 20 20 50 117  7.8 110 10.0 2046
2014 11 20 20 40 122  7.8 999 99.0 9999
2014 11 20 20 30 124  7.7 999 99.0 9999
2014 11 20 20 20 122  7.5 120 10.0 1936
2014 11 20 20 10 128  6.4 999 99.0 9999
2014 11 20 20 00 132  6.4 999 99.0 9999
2014 11 20 19 50 125  6.8 120 10.0 1936
2014 11 20 19 40 124  7.3 999 99.0 9999
2014 11 20 19 30 121  6.7 999 99.0 9999
2014 11 20 19 20 118  7.3 120 10.0 1823
2014 11 20 19 10 119  7.4 999 99.0 9999
2014 11 20 19 00 125  7.5 999 99.0 9999
2014 11 20 18 50 126  7.6 120 10.0 1809
2014 11 20 18 40 127  7.6 999 99.0 9999
2014 11 20 18 30 128  7.9 999 99.0 9999
2014 11 20 18 20 125  7.9 120 10.0 1809
2014 11 20 18 10 122  7.4 999 99.0 9999
2014 11 20 18 00 121  6.3 999 99.0 9999
2014 11 20 17 50 126  6.1 190 10.0 1702
2014 11 20 17 40 124  6.2 999 99.0 9999
2014 11 20 17 30 131  5.5 999 99.0 9999
2014 11 20 17 20 156  6.0 190 10.0 1702
2014 11 20 17 10 178  7.8 999 99.0 9999
2014 11 20 17 00 187  7.3 999 99.0 9999
2014 11 20 16 50 187  7.4 190 11.0 1555
2014 11 20 16 40 181  7.3 999 99.0 9999
2014 11 20 16 30 179  7.3 999 99.0 9999
