#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2014 12 06 00 20 119 12.4 120 15.0 0012
2014 12 06 00 10 120 12.0 999 99.0 9999
2014 12 06 00 00 125 11.6 999 99.0 9999
2014 12 05 23 50 123 12.0 110 15.0 2317
2014 12 05 23 40 121 12.3 999 99.0 9999
2014 12 05 23 30 120 11.9 999 99.0 9999
2014 12 05 23 20 116 12.3 110 15.0 2238
2014 12 05 23 10 118 11.9 999 99.0 9999
2014 12 05 23 00 119 11.9 999 99.0 9999
2014 12 05 22 50 119 12.5 110 15.0 2238
2014 12 05 22 40 119 12.6 999 99.0 9999
2014 12 05 22 30 122 12.2 999 99.0 9999
2014 12 05 22 20 122 12.1 120 14.0 2211
2014 12 05 22 10 121 11.5 999 99.0 9999
2014 12 05 22 00 121 11.5 999 99.0 9999
2014 12 05 21 50 121 11.6 120 14.0 2134
2014 12 05 21 40 120 11.1 999 99.0 9999
2014 12 05 21 30 119 10.8 999 99.0 9999
2014 12 05 21 20 122 11.4 120 15.0 2022
2014 12 05 21 10 121 11.0 999 99.0 9999
2014 12 05 21 00 122 11.2 999 99.0 9999
2014 12 05 20 50 118 11.5 120 15.0 2022
2014 12 05 20 40 124 11.2 999 99.0 9999
2014 12 05 20 30 123 11.9 999 99.0 9999
2014 12 05 20 20 121 11.8 120 14.0 2010
2014 12 05 20 10 118 11.9 999 99.0 9999
2014 12 05 20 00 119 11.2 999 99.0 9999
2014 12 05 19 50 121 11.6 120 15.0 1904
2014 12 05 19 40 123 11.4 999 99.0 9999
2014 12 05 19 30 123 11.8 999 99.0 9999
2014 12 05 19 20 125 11.9 130 15.0 1840
2014 12 05 19 10 125 12.1 999 99.0 9999
2014 12 05 19 00 126 11.8 999 99.0 9999
2014 12 05 18 50 129 12.2 120 16.0 1755
2014 12 05 18 40 127 11.8 999 99.0 9999
2014 12 05 18 30 127 12.4 999 99.0 9999
2014 12 05 18 20 126 12.7 120 16.0 1728
2014 12 05 18 10 126 12.6 999 99.0 9999
2014 12 05 18 00 125 13.2 999 99.0 9999
2014 12 05 17 50 123 12.6 120 17.0 1658
2014 12 05 17 40 124 12.5 999 99.0 9999
2014 12 05 17 30 123 12.8 999 99.0 9999
2014 12 05 17 20 121 13.1 120 17.0 1658
2014 12 05 17 10 116 14.0 999 99.0 9999
2014 12 05 17 00 119 13.3 999 99.0 9999
2014 12 05 16 50 123 13.2 120 16.0 1634
2014 12 05 16 40 121 13.1 999 99.0 9999
2014 12 05 16 30 118 13.3 999 99.0 9999
2014 12 05 16 20 118 12.7 999 99.0 9999
2014 12 05 16 10 119 12.6 999 99.0 9999
2014 12 05 16 00 119 12.9 999 99.0 9999
