Depth,Major-Axis (M2),Minor-Axis (M2),Theta (M2),Major-Axis (K1),Minor-Axis (K1),Theta (K1)
0.5,0.26019478167894994,-0.12238910223109617,130.36929798539001,0.080763755805218163,-0.012172889907215427,91.980559305741338
1.5,0.2481424152611531,-0.11772512124342505,130.42936205278571,0.074161146109302301,-0.0076746386053232266,92.986590295228325
2.50001,0.22891614914959979,-0.1056439377156338,130.59781524520557,0.062475833325782298,0.001027582402082821,98.496270652490125
3.50003,0.20923341128109099,-0.092126559088810928,130.08475145132877,0.052508936077291984,0.006067306324309036,112.31864752678672
4.50007,0.19250581906865408,-0.082649880346229859,129.9693542824584,0.053510552258213898,0.0039165658082350729,126.3334339393196
5.50015,0.18237017800278632,-0.077447857946410403,130.44209075504622,0.05838421990691639,-0.00018631537348465926,134.15153264830209
6.50031,0.1780458110160654,-0.074928082978655136,131.06071387728363,0.062891489014636398,-0.0039040344493784448,137.9650914313242
7.50062,0.17718591739889131,-0.073633980526836923,131.61487793240408,0.065949232997803364,-0.0067594830534919437,139.70293130097099
8.50124,0.17798321748274321,-0.072814216792498609,132.10873228652875,0.067663572765317162,-0.0086534392078316535,140.3369948155252
9.50243,0.17930652956273707,-0.071921168341196218,132.56566073675063,0.06839680872064785,-0.0096761411746053225,140.41916027913908
10.5048,0.18040236565425416,-0.070563275186147634,132.98916388515264,0.068549293231188024,-0.010094075076633451,140.24894784790396
11.5093,0.18075765822561529,-0.068565115031965704,133.35863538276931,0.068452420952772999,-0.010162551918906859,139.98814124287711
12.5182,0.18011949334103369,-0.065928118243357425,133.64714471779402,0.068313614595528066,-0.010086578713863675,139.70945018355366
13.5354,0.17848814949784469,-0.062717783464002155,133.82860598710923,0.068219128809927976,-0.010013442336938103,139.42123531321266
14.569,0.1760126887815936,-0.059005652898376768,133.87668981468514,0.068183522426642523,-0.0099974571637928104,139.10152678077611
15.6343,0.17288591124988195,-0.054861823953692074,133.77102347390147,0.06817805060934054,-0.010022193196434857,138.72032187357527
16.7612,0.16925637297604745,-0.050303513867764507,133.49066361923303,0.068163870352830044,-0.01007149510517721,138.2676417349837
18.0071,0.16514325789483472,-0.045250250921644704,132.99509463292404,0.068121207562927541,-0.010124173976389771,137.7414673520388
19.4818,0.16041107483974795,-0.039468043187971563,132.20225573641744,0.068069622432541124,-0.010152978759273148,137.1322863856056
21.39,0.15480005118121676,-0.032570191086413,130.94097676772418,0.068109071691515199,-0.010143265244422196,136.38814016930027
24.1003,0.14822154860731981,-0.024132962778394045,128.90191371151462,0.068557051622102877,-0.0101925031449886,135.50861865210047
28.2299,0.14197413884199805,-0.0152426977650474,125.8820840090776,0.06988257589603733,-0.010858096157303862,134.35675844859662
34.6858,0.13556578878715708,-0.004500840144653559,122.76644555269543,0.071964160011307177,-0.011204683959110839,134.11991069109837
44.5177,0.12963568150154156,0.0078797385144770346,118.5662137882376,0.073497772924771582,-0.010501500550793824,134.58300258940235
58.4843,0.12830526619073673,0.016985490197770847,115.95767935845538,0.073429468145874199,-0.0079828176422157213,135.53931364705724
76.5856,0.12895504484046483,0.025803031431122898,119.21848293651786,0.073047836748039274,-0.0048993357142897778,135.53552291121429
98.063,0.13500083003679533,0.030603087556078129,130.84623132453362,0.073905278247111961,-0.0021088122091658737,135.57500196169252
121.867,0.15692177546358047,0.017029086739574512,141.02456568275741,0.074027676006573381,0.0025270757590390019,135.76084700981522
147.089,0.17707732653303962,0.0015455517859429002,143.32980352756857,0.074776555439120887,0.0060486083001564661,134.10776634253745
173.114,0.18198036698511272,0.0011152823319140193,140.00724694494338,0.07915948231611758,0.0065432299544763914,132.34997002049187
199.573,0.18466874762121346,0.0074632536757033296,134.88962583814174,0.085239559903163342,0.0052182081331024963,131.95458432072411
226.26,0.19793941078685368,0.0050388655033194868,130.58921398800081,0.086647619640591381,0.0080835775727780002,130.64389766293948
253.067,0.21089616131267791,0.00066197222947099454,122.93469765882227,0.092392289080770074,0.014359460808508785,128.93561573776083
279.935,0.19125221644614823,0.035859649336791227,108.78663056574197,0.098955081447754945,0.027040742088953164,144.55943583697848
306.834,0.14948132030317396,0.052224309077700329,111.51736563972844,0.071077061904214964,0.025865471655996005,147.94869448125638
333.75,0.0,0.0,0.0,0.0,0.0,0.0
360.675,0.0,0.0,0.0,0.0,0.0,0.0
387.603,0.0,0.0,0.0,0.0,0.0,0.0
414.534,0.0,0.0,0.0,0.0,0.0,0.0
