Depth,Major-Axis (M2),Minor-Axis (M2),Theta (M2),Major-Axis (K1),Minor-Axis (K1),Theta (K1)
0.5,0.1980329263149268,-0.070527701740308216,137.40157383052025,0.063296727570999453,0.0006101325882367642,116.87957273174058
1.5,0.19442666113942814,-0.069045485791595654,137.51896468013226,0.060910049910320355,0.0022288527344923349,118.92419294455945
2.50001,0.18802926871892747,-0.064866720418510299,137.4629270233537,0.058989905070737432,0.003802084934196294,122.64355984795934
3.50003,0.18134602503468031,-0.060257568481814537,137.19940323215579,0.058454681010600106,0.0035534661165455353,127.44477844579129
4.50007,0.17600449378575966,-0.056293716734900946,136.8637592739984,0.059398407554101647,0.0016682506946730652,131.10865182515982
5.50015,0.1723217865258429,-0.053935501578856265,136.77787330597363,0.060775104718624164,-0.00012919566315883896,133.19588755754157
6.50031,0.17016024755979905,-0.052576787270278764,136.87523956069509,0.06169535088867123,-0.0012786715159731586,134.31670505473332
7.50062,0.16918309001092668,-0.051408629825806539,136.99938682211967,0.061912109395636364,-0.0022130359071000465,135.24955223549665
8.50124,0.16873950659358264,-0.050074479851677289,137.09080790839695,0.061785628574723236,-0.0029431659148699794,136.08643114535928
9.50243,0.16849165287060522,-0.04877484082802138,137.19484491133457,0.061983286106194795,-0.0036824170332427839,136.79338789672042
10.5048,0.16842287856540622,-0.047634071362848543,137.23026256335882,0.062105617125309459,-0.0044117516304503258,137.24417318139453
11.5093,0.16837581593579817,-0.046592559261647293,137.20905737661977,0.062084493420844322,-0.0050599801420386122,137.77818856193534
12.5182,0.16802905473481294,-0.04544476100092254,137.16134150967821,0.062122051470756376,-0.0056611933134368235,138.41200798503829
13.5354,0.1672725649323599,-0.043856461108293839,137.10598263760491,0.062332060901199506,-0.0061842467769588697,139.00273431166883
14.569,0.16615000302007182,-0.04176755631676797,137.00681602638664,0.062674910405240508,-0.0064885072525216886,139.14579642433671
15.6343,0.16479869488891752,-0.039540472974978064,136.80208451215671,0.063052309567510734,-0.0066516663087478264,138.91320241954261
16.7612,0.16328867187130641,-0.037278366290535145,136.45288154187571,0.063322411692239428,-0.0067053273590376508,138.50060068287397
18.0071,0.16175313196720059,-0.034921392386094832,135.90809100071638,0.063444050782160116,-0.0067620079722010111,137.95093596125179
19.4818,0.16014203420650322,-0.032466023358555363,135.0955526444703,0.063485724859243892,-0.0069366309825700835,137.3599700564244
21.39,0.15842684729762241,-0.029772880868487714,133.91467017213688,0.063666118239876585,-0.0071385828674579953,136.84601714629292
24.1003,0.15705830663621104,-0.027063095293673345,132.22768815203278,0.064204157168406537,-0.0069378586583940909,136.20258662157576
28.2299,0.15654355931604863,-0.024301224187160603,130.06247156258948,0.065119654010819317,-0.0067996045494770514,135.11367872818457
34.6858,0.15529951257264812,-0.019619893045930564,127.3724029353906,0.066618090909660033,-0.0075080689621969746,134.42728650275558
44.5177,0.15465050696288349,-0.014467888384004535,125.22315302877942,0.068542694613794086,-0.0081937691638359136,134.39229347961026
58.4843,0.15301295530113257,-0.0067738678063975211,124.07652937019472,0.068772992472747041,-0.0070027225694103482,134.21063598441353
76.5856,0.14958163143103295,0.0047651078334880193,124.16951157780498,0.068417231328819272,-0.0046290148664631312,134.36016744432146
98.063,0.14775599686357765,0.015587996278192864,128.15619888565689,0.068013934344609117,-0.0017722352903847896,134.79986853957581
121.867,0.15231766463768093,0.018473465916308496,135.71126366228225,0.068074569593502637,0.0013168843000099031,135.649856212651
147.089,0.16176414404531242,0.013927501665414982,139.30099502917503,0.068774297333596357,0.0041035313915578145,134.62813566874249
173.114,0.16895872184543598,0.012197362651982499,137.21204806389329,0.071827727658600474,0.0058873488852532602,133.32070859082216
199.573,0.1758655688049206,0.013099546668103021,133.14936498699765,0.075241121839399752,0.0066091174376601419,131.98609509861018
226.26,0.18450941882973299,0.012583815943093754,129.77178144668054,0.076567462973220118,0.0089885727006068852,130.65300418131795
253.067,0.19226928531156817,0.010956186331867346,123.6933738481832,0.080641916431649543,0.012560521138002531,129.99883108314563
279.935,0.17915471041664893,0.040500856378356681,108.53982944754055,0.086780697452103053,0.02336274952212726,146.29539131570903
306.834,0.14113502652894008,0.053809265895121104,110.75954264840287,0.060980119167357266,0.02554230167680788,149.37932964567173
333.75,0.0,0.0,0.0,0.0,0.0,0.0
360.675,0.0,0.0,0.0,0.0,0.0,0.0
387.603,0.0,0.0,0.0,0.0,0.0,0.0
414.534,0.0,0.0,0.0,0.0,0.0,0.0
