Depth,Major-Axis (M2),Minor-Axis (M2),Theta (M2),Major-Axis (K1),Minor-Axis (K1),Theta (K1)
0.5,0.43713194311422915,-0.28882985433494274,123.00922737928644,0.10282802705017396,0.0068122895484378151,89.770827138850734
1.5,0.41477477788419226,-0.26522008276324072,123.07024446228704,0.1007319740603768,0.015549199234341352,95.283180712870603
2.50001,0.37873270994915065,-0.21804908408184875,123.55241340571277,0.10282504484227215,0.017925028715636969,105.06667881548685
3.50003,0.34305472580310448,-0.16676567781885565,124.03077281383619,0.11160289170190801,0.01040857419567405,112.71472158627137
4.50007,0.31137007938120476,-0.11944467666286519,124.72277726600078,0.1230636991132298,0.001323907766743862,117.72757651304357
5.50015,0.2862417924962985,-0.080155958898120494,125.19815337339416,0.13299195834500771,-0.0069975005196346446,120.83003218340039
6.50031,0.2669053783557353,-0.050225870788056057,125.57446368729285,0.14119237409520766,-0.014669181766257727,122.5359852109474
7.50062,0.25229512539684124,-0.028306485769219222,125.80470229289207,0.14769158143666239,-0.020882070751187101,123.36618712344863
8.50124,0.24139926533251577,-0.012427907507630565,125.80138495943815,0.15283350635153192,-0.025338835042151883,123.93906635535346
9.50243,0.23347849738594589,-0.0008134592962639603,125.50670388537111,0.15690963702012392,-0.028391377499891263,124.62388223306134
10.5048,0.22800466999635469,0.0076570412381239683,124.92855256251966,0.1601648573700529,-0.030485671614736143,125.49158227749443
11.5093,0.22460207714189628,0.013545188028363395,124.13167578600914,0.16280648414418589,-0.032003522353827418,126.46093035585119
12.5182,0.22301931903285344,0.017145332385887169,123.20458436762641,0.16495103650751244,-0.033217083873596259,127.42432435143391
13.5354,0.22309012443935089,0.018717780864724462,122.24111428538964,0.16665548311146378,-0.034293506330765625,128.32486361924745
14.569,0.22467986511858651,0.01853181426315692,121.32307599529307,0.16795274347816308,-0.035287227672063839,129.13832334645289
15.6343,0.22764678566527541,0.016866951557241022,120.5235936268614,0.16887577283908173,-0.03617746462416907,129.84263243017057
16.7612,0.23188252109729202,0.013971530350830111,119.8908110318259,0.16947577244492212,-0.036865857304867786,130.40174808595992
18.0071,0.23730490593314979,0.010019677755506176,119.47747649419826,0.16979261493002842,-0.037217016480388498,130.75607258497612
19.4818,0.24395563988812669,0.0049258135617979981,119.28383897272346,0.17000410976908714,-0.036844631612151804,130.85759479197429
21.39,0.25170519139713454,-0.0013716170801503502,119.50273582943478,0.17043368400231376,-0.035322781338510634,130.59519532665871
24.1003,0.26082909927789721,-0.0086482680461889838,120.18113863727703,0.17131035804194716,-0.032451122775105035,129.93062998470816
28.2299,0.2699047881969619,-0.014918573687516035,121.90647184223633,0.17489091943456647,-0.030659394941459417,128.94424848749708
34.6858,0.27122421934899721,-0.017468563207803101,124.54188110780602,0.18388113677144052,-0.030824334568845868,128.59884511566145
44.5177,0.27339906831267663,-0.015836601471825806,128.67108397021406,0.19564230584961112,-0.030016282323187995,129.95583767738125
58.4843,0.27431353721152452,-0.014900881887908446,134.58986632599502,0.18837730097273855,-0.0255368809615725,129.13510508867014
76.5856,0.31745028234189965,-0.050150457703919266,140.27748956333357,0.17976455970743155,-0.021985792867843315,128.18791845323605
98.063,0.36501033035172609,-0.073194271708459824,141.72137819859844,0.20855170194763459,-0.030787083375730606,129.397138597256
121.867,0.30610902152329306,-0.028756853076311206,141.28305707244235,0.19966187093489746,-0.034639560420241258,130.91355086372181
147.089,0.25960250966134107,0.073069439568604511,126.52488783742504,0.11996812979791957,0.01100504751147887,144.60893071274663
173.114,0.0,0.0,0.0,0.0,0.0,0.0
199.573,0.0,0.0,0.0,0.0,0.0,0.0
226.26,0.0,0.0,0.0,0.0,0.0,0.0
253.067,0.0,0.0,0.0,0.0,0.0,0.0
279.935,0.0,0.0,0.0,0.0,0.0,0.0
306.834,0.0,0.0,0.0,0.0,0.0,0.0
333.75,0.0,0.0,0.0,0.0,0.0,0.0
360.675,0.0,0.0,0.0,0.0,0.0,0.0
387.603,0.0,0.0,0.0,0.0,0.0,0.0
414.534,0.0,0.0,0.0,0.0,0.0,0.0
