Mean 	2.303553
Latitude 	48.653600
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.034811	 0.029239	 73.446094	 54.035512
SSA  	 0.000228	 0.046146	 0.028437	 343.067796	 38.906053
MSM  	 0.001310	 0.027203	 0.030039	 343.138718	 62.856912
MM   	 0.001512	 0.011930	 0.024163	 8.911742	 126.194170
MSF  	 0.002822	 0.024393	 0.028898	 278.401292	 73.692476
MF   	 0.003050	 0.024068	 0.027828	 181.809822	 85.720848
ALP1 	 0.034397	 0.001379	 0.003301	 203.793119	 154.543793
2Q1  	 0.035706	 0.009771	 0.003992	 177.816342	 29.709164
SIG1 	 0.035909	 0.011146	 0.004195	 170.814836	 18.890501
Q1   	 0.037219	 0.073886	 0.004374	 137.984085	 3.512859
RHO1 	 0.037421	 0.012671	 0.004431	 125.643132	 20.589360
O1   	 0.038731	 0.430362	 0.004370	 147.544817	 0.587752
TAU1 	 0.038959	 0.015720	 0.004458	 239.648657	 15.041003
BET1 	 0.040040	 0.005917	 0.004006	 117.306118	 42.414880
NO1  	 0.040269	 0.031585	 0.003124	 168.751361	 6.718059
CHI1 	 0.040471	 0.008290	 0.004847	 133.842715	 28.373866
PI1  	 0.041439	 0.014316	 0.004503	 147.825234	 19.027986
P1   	 0.041553	 0.233998	 0.003934	 158.853698	 1.183872
S1   	 0.041667	 0.043084	 0.005741	 118.877619	 7.755573
K1   	 0.041781	 0.758985	 0.004433	 161.148092	 0.321995
PSI1 	 0.041895	 0.017625	 0.004189	 176.885724	 13.964733
PHI1 	 0.042009	 0.014777	 0.004082	 163.220480	 14.283055
THE1 	 0.043091	 0.009982	 0.003664	 143.127761	 27.192724
J1   	 0.043293	 0.040446	 0.004408	 193.515033	 6.090063
SO1  	 0.044603	 0.021966	 0.003678	 273.449473	 10.315534
OO1  	 0.044831	 0.026054	 0.003686	 198.490930	 9.101364
UPS1 	 0.046343	 0.002973	 0.003921	 196.299400	 84.656388
OQ2  	 0.075975	 0.001192	 0.001639	 248.670746	 99.619010
EPS2 	 0.076177	 0.005634	 0.001878	 354.051198	 19.022728
2N2  	 0.077487	 0.010805	 0.002082	 73.451294	 10.448113
MU2  	 0.077689	 0.021374	 0.001960	 41.739543	 4.672159
N2   	 0.078999	 0.132413	 0.001825	 116.089582	 0.846378
NU2  	 0.079202	 0.026065	 0.001817	 128.878676	 4.482999
H1   	 0.080397	 0.009716	 0.001777	 347.116415	 11.440523
M2   	 0.080511	 0.605178	 0.002195	 141.118137	 0.172099
H2   	 0.080625	 0.006922	 0.001941	 219.779197	 17.380937
MKS2 	 0.080740	 0.005355	 0.002046	 286.808710	 19.325812
LDA2 	 0.081821	 0.008965	 0.001932	 193.606706	 11.991458
L2   	 0.082024	 0.022154	 0.002349	 178.632345	 5.078968
T2   	 0.083219	 0.011894	 0.001957	 152.120207	 9.504018
S2   	 0.083333	 0.149730	 0.002030	 158.576679	 0.730791
R2   	 0.083447	 0.002011	 0.001500	 111.002661	 46.857148
K2   	 0.083561	 0.040007	 0.001970	 159.015077	 2.752223
MSN2 	 0.084845	 0.003819	 0.001687	 77.752098	 31.779885
ETA2 	 0.085074	 0.001805	 0.002018	 172.385672	 61.813833
MO3  	 0.119242	 0.013436	 0.001812	 13.047691	 7.939711
M3   	 0.120767	 0.004671	 0.001831	 270.771082	 22.598930
SO3  	 0.122064	 0.006154	 0.001628	 29.319555	 15.889354
MK3  	 0.122292	 0.012916	 0.001721	 12.161340	 7.765998
SK3  	 0.125114	 0.003208	 0.001710	 53.442349	 28.647935
MN4  	 0.159511	 0.005649	 0.001212	 349.529541	 13.315470
M4   	 0.161023	 0.012970	 0.001008	 15.522478	 5.407310
SN4  	 0.162333	 0.001242	 0.001261	 332.040063	 50.733229
MS4  	 0.163845	 0.007550	 0.001305	 23.339460	 10.213318
MK4  	 0.164073	 0.001704	 0.001317	 18.301688	 36.126083
S4   	 0.166667	 0.001566	 0.001136	 7.038834	 39.826580
SK4  	 0.166895	 0.001184	 0.001135	 98.652195	 65.084508
2MK5 	 0.202804	 0.005670	 0.002101	 100.947258	 20.470623
2SK5 	 0.208447	 0.001436	 0.001715	 3.812364	 92.266661
2MN6 	 0.240022	 0.001168	 0.000667	 20.887308	 33.391522
M6   	 0.241534	 0.002742	 0.000720	 62.859775	 14.774975
2MS6 	 0.244356	 0.002106	 0.000805	 89.890625	 18.071643
2MK6 	 0.244584	 0.001926	 0.000754	 122.607583	 20.827204
2SM6 	 0.247178	 0.000901	 0.000675	 27.532481	 41.804501
MSK6 	 0.247406	 0.000303	 0.000539	 151.031285	 120.720756
3MK7 	 0.283315	 0.000833	 0.000717	 342.003268	 46.916908
M8   	 0.322046	 0.000893	 0.000552	 177.334775	 33.636622
