Mean 	1.901983
Latitude 	48.424000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.046734	 0.033940	 60.442037	 46.393631
SSA  	 0.000228	 0.050380	 0.031992	 347.952269	 38.418812
MSM  	 0.001310	 0.028638	 0.026040	 342.843080	 71.213270
MM   	 0.001512	 0.006777	 0.024362	 6.798880	 190.848361
MSF  	 0.002822	 0.027225	 0.031578	 276.615003	 64.661112
MF   	 0.003050	 0.023211	 0.030914	 194.532950	 84.134761
ALP1 	 0.034397	 0.000120	 0.002019	 114.845160	 243.789626
2Q1  	 0.035706	 0.008580	 0.002947	 159.106614	 21.928828
SIG1 	 0.035909	 0.007955	 0.003352	 144.623995	 20.533259
Q1   	 0.037219	 0.065557	 0.002786	 126.195889	 2.367583
RHO1 	 0.037421	 0.010816	 0.002839	 120.957082	 17.106256
O1   	 0.038731	 0.374088	 0.003051	 136.914146	 0.530536
TAU1 	 0.038959	 0.007478	 0.002756	 218.223096	 22.230980
BET1 	 0.040040	 0.004268	 0.002858	 124.436262	 38.934402
NO1  	 0.040269	 0.024831	 0.002092	 153.645897	 4.631557
CHI1 	 0.040471	 0.006589	 0.002759	 117.925407	 23.696929
PI1  	 0.041439	 0.012253	 0.003494	 144.117249	 14.878153
P1   	 0.041553	 0.195226	 0.002675	 146.662633	 0.911834
S1   	 0.041667	 0.032262	 0.004174	 121.926666	 8.902589
K1   	 0.041781	 0.633495	 0.003397	 149.587297	 0.256381
PSI1 	 0.041895	 0.011579	 0.002876	 185.227265	 13.422070
PHI1 	 0.042009	 0.010563	 0.002732	 153.975177	 18.356718
THE1 	 0.043091	 0.007282	 0.002950	 139.131884	 24.615611
J1   	 0.043293	 0.033666	 0.003170	 171.184903	 5.621312
SO1  	 0.044603	 0.010899	 0.002920	 259.656419	 15.717053
OO1  	 0.044831	 0.021871	 0.002703	 179.455505	 6.315589
UPS1 	 0.046343	 0.002757	 0.002720	 172.429263	 64.841914
OQ2  	 0.075975	 0.002063	 0.002069	 285.927480	 74.972582
EPS2 	 0.076177	 0.006556	 0.002469	 345.391739	 21.211212
2N2  	 0.077487	 0.011530	 0.002556	 3.465811	 12.228572
MU2  	 0.077689	 0.023846	 0.002172	 17.818462	 5.493811
N2   	 0.078999	 0.090219	 0.002228	 61.963489	 1.579602
NU2  	 0.079202	 0.012923	 0.002348	 73.256408	 9.383572
H1   	 0.080397	 0.016283	 0.002167	 12.174873	 8.471745
M2   	 0.080511	 0.373381	 0.002401	 84.757269	 0.316408
H2   	 0.080625	 0.013244	 0.002569	 271.478459	 8.395424
MKS2 	 0.080740	 0.007036	 0.002196	 297.093516	 20.243389
LDA2 	 0.081821	 0.005105	 0.002210	 190.517083	 27.447086
L2   	 0.082024	 0.012936	 0.002745	 180.125694	 11.732558
T2   	 0.083219	 0.007095	 0.002511	 114.966727	 17.881114
S2   	 0.083333	 0.105160	 0.002237	 93.302226	 1.282442
R2   	 0.083447	 0.002950	 0.001957	 105.601540	 38.198521
K2   	 0.083561	 0.019318	 0.002367	 101.113571	 6.478505
MSN2 	 0.084845	 0.004490	 0.002775	 77.745264	 26.293462
ETA2 	 0.085074	 0.001835	 0.002197	 110.159979	 87.547656
MO3  	 0.119242	 0.021953	 0.002337	 39.048144	 6.052849
M3   	 0.120767	 0.005703	 0.002069	 262.398088	 20.319842
SO3  	 0.122064	 0.012603	 0.002381	 37.600763	 10.141209
MK3  	 0.122292	 0.021028	 0.002239	 25.278488	 5.897166
SK3  	 0.125114	 0.009877	 0.002113	 61.258074	 12.621569
MN4  	 0.159511	 0.008730	 0.001229	 328.310579	 8.595142
M4   	 0.161023	 0.017699	 0.001148	 354.639841	 4.065730
SN4  	 0.162333	 0.001994	 0.001090	 336.002268	 37.285706
MS4  	 0.163845	 0.010105	 0.001364	 7.398606	 7.019776
MK4  	 0.164073	 0.005313	 0.001181	 23.297201	 13.397078
S4   	 0.166667	 0.002346	 0.001131	 2.089288	 33.258013
SK4  	 0.166895	 0.002316	 0.001191	 80.098010	 29.086797
2MK5 	 0.202804	 0.010699	 0.002058	 197.282533	 10.223950
2SK5 	 0.208447	 0.001473	 0.001695	 303.111173	 83.697176
2MN6 	 0.240022	 0.008434	 0.001165	 199.678802	 7.488721
M6   	 0.241534	 0.014544	 0.001110	 224.899020	 3.973645
2MS6 	 0.244356	 0.012199	 0.001019	 251.407461	 4.681911
2MK6 	 0.244584	 0.004027	 0.001060	 219.773808	 15.089857
2SM6 	 0.247178	 0.003211	 0.001037	 271.028439	 18.464302
MSK6 	 0.247406	 0.001561	 0.001048	 249.634758	 47.813207
3MK7 	 0.283315	 0.000485	 0.000510	 258.733241	 73.904478
M8   	 0.322046	 0.001150	 0.000439	 313.877590	 21.620337
